Intel® Product Specification Comparison
09/02/2026 07:45:25 PM
 ,Intel® Xeon® w5-2545 Processor ,Intel® Xeon® w7-2595X Processor ,Intel® Xeon® w7-2575X Processor ,Intel® Xeon® w3-2535 Processor ,Intel® Xeon® w5-2555X Processor ,Intel® Xeon® w3-2525 Processor ,Intel® Xeon® w5-2565X Processor ,Intel Atom® x7213RE Processor ,Intel Atom® x7433RE Processor ,Intel Atom® x7835RE Processor ,Intel Atom® x7203C Processor ,Intel Atom® x7211RE Processor ,Intel® Core™ 7 processor 250U ,Intel® Core™ i7 processor 14701TE ,Intel® Core™ i7 processor 14701E ,Intel® Core™ 5 processor 220U ,Intel® Core™ i5 processor 14401E ,Intel® Core™ i9 processor 14901TE ,Intel® Core™ i5 processor 14401TE ,Intel® Core™ i5 processor 14501TE ,Intel® Core™ i5 processor 14501E ,Intel® Core™ i9 processor 14901E ,Intel® Core™  7 processor 150HL ,Intel® Core™ 5 processor 120HL ,Intel® Core™ 3 processor 100HL ,Intel® Core™ 7 processor 160HL ,Intel® Core™ 5 processor 130HL ,Intel® Xeon® 6740E Processor ,Intel® Xeon® 6756E Processor ,Intel® Xeon® 6780E Processor ,Intel® Xeon® 6710E Processor ,Intel® Xeon® 6766E Processor ,Intel® Xeon® 6731E Processor ,Intel® Xeon® 6746E Processor ,Intel® Xeon® w9-3595X Processor ,Intel® Xeon® w5-3535X Processor ,Intel® Xeon® w5-3525 Processor ,Intel® Xeon® w7-3555 Processor ,Intel® Xeon® w7-3565X Processor ,Intel® Xeon® w7-3545 Processor ,Intel® Xeon® w9-3575X Processor ,Intel® Xeon® 6960P Processor ,Intel® Xeon® 6980P Processor ,Intel® Xeon® 6979P Processor ,Intel® Xeon® 6972P Processor ,Intel® Core™ Ultra 5 Processor 238V ,Intel® Core™ Ultra 7 Processor 256V ,Intel® Core™ Ultra 5 Processor 228V ,Intel® Core™ Ultra 7 Processor 266V ,Intel® Core™ Ultra 7 Processor 258V ,Intel® Core™ Ultra 7 Processor 268V ,Intel® Core™ Ultra 5 Processor 236V ,Intel® Core™ Ultra 5 Processor 226V ,Intel® Core™ Ultra 9 Processor 288V ,Intel® Core™ Ultra 9 Processor 285T ,Intel® Core™ Ultra 9 Processor 285K ,Intel® Core™ Ultra 9 Processor 285 ,Intel® Core™ Ultra 7 Processor 265KF ,Intel® Core™ Ultra 7 Processor 265K ,Intel® Core™ Ultra 7 Processor 265F ,Intel® Core™ Ultra 7 Processor 265T ,Intel® Core™ Ultra 5 Processor 245KF ,Intel® Core™ Ultra 5 Processor 245K ,Intel® Core™ Ultra 7 Processor 265 ,Intel® Core™ Ultra 5 Processor 225F ,Intel® Core™ Ultra 5 Processor 225 ,Intel® Processor N150 ,Intel® Processor N250 ,Intel® Core™ 3 Processor N350 ,Intel® Core™ 3 Processor N355 ,Intel® Xeon® 6952P Processor ,Intel® Core™ 7 processor 250H ,Intel® Core™ 5 processor 210H ,Intel® Core™ 7 processor 240H ,Intel® Core™ 5 processor 220H ,Intel® Core™ Ultra 5 Processor 235 ,Intel® Core™ Ultra 9 Processor 285H ,Intel® Core™ Ultra 5 Processor 235H ,Intel® Core™ Ultra 5 Processor 225H ,Intel® Core™ Ultra 7 Processor 265H ,Intel® Core™ Ultra 7 Processor 255H ,Intel® Xeon® 6741P Processor ,Intel® Xeon® 6730P Processor ,Intel® Xeon® 6781P Processor ,Intel® Xeon® 6760P Processor ,Intel® Xeon® 6788P Processor ,Intel® Xeon® 6740P Processor ,Intel® Xeon® 6768P Processor ,Intel® Xeon® 6761P Processor ,Intel® Xeon® 6787P Processor ,Intel® Xeon® 6767P Processor ,Intel® Core™ Ultra 7 Processor 265U ,Intel® Core™ Ultra 7 Processor 255U ,Intel® Core™ Ultra 5 Processor 225U ,Intel® Core™ Ultra 5 Processor 235U ,Intel® Core™ Ultra 5 Processor 225T ,Intel® Core™ Ultra 5 Processor 235T ,Intel® Core™ Ultra 5 Processor 245T ,Intel® Core™ Ultra 5 Processor 245 ,Intel® Core™ 9 processor 270H ,Intel® Core™ Ultra 7 Processor 255HX ,Intel® Core™ Ultra 9 Processor 275HX ,Intel® Core™ Ultra 7 Processor 265HX ,Intel® Core™ Ultra 5 Processor 245HX ,Intel® Core™ Ultra 5 Processor 235HX ,Intel® Core™ Ultra 9 Processor 285HX ,Intel® Xeon® 6737P Processor ,Intel® Xeon® 6738P Processor ,Intel® Xeon® 6731P Processor ,Intel® Xeon® 6748P Processor ,Intel® Xeon® 6736P Processor ,Intel® Xeon® 6728P Processor ,Intel® Core™ 5 Processor 211E ,Intel® Core™ 5 Processor 221E ,Intel® Core™ 5 Processor 221TE ,Intel® Core™ 3 Processor 201TE ,Intel® Core™ 7 Processor 251TE ,Intel® Core™ 5 Processor 211TE ,Intel® Core™ 7 Processor 251E ,Intel® Core™ 3 Processor 201E 
Intel vPro® Eligibility ‡,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Enterprise |  Intel vPro® Essentials |  Intel vPro® Platform,Intel vPro® Essentials,Intel vPro® Essentials,Intel vPro® Essentials,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,Intel vPro® Enterprise,,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,,,,,,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,,,,,,,,,,,,Intel vPro® Enterprise,,,Intel vPro® Enterprise,,Intel vPro® Enterprise,Intel vPro® Enterprise,Intel vPro® Enterprise,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,,,,,,,,Intel vPro® Enterprise,Intel vPro® Enterprise,,Intel vPro® Enterprise,,Intel vPro® Enterprise,
Intel® Threat Detection Technology (TDT),No,No,No,No,No,No,No,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,No,No,No,No,No,No,No,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Active Management Technology (AMT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,Yes,Yes,No,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Remote Platform Erase (RPE) ‡,No,No,No,No,No,No,No,,,,,,No,Yes,Yes,No,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,No,No,No,No,No,No,No,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® One-Click Recovery ‡,No,No,No,No,No,No,No,,,,,,No,Yes,Yes,No,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,No,No,No,No,No,No,No,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® QuickAssist Software Acceleration,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Control-Flow Enforcement Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption - Multi Key,No,No,No,No,No,No,No,,,,,,No,Yes,Yes,No,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Total Memory Encryption,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® AES New Instructions,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Software Guard Extensions (Intel® SGX),No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Trusted Execution Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Execute Disable Bit ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® OS Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Boot Guard,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Mode-based Execute Control (MBEC),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Platform Firmware Resilience Support,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Virtualization Technology with Redirect Protection (VT-rp) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,No,Yes,Yes,No,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology (VT-x) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Virtualization Technology for Directed I/O (VT-d) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® VT-x with Extended Page Tables (EPT) ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Standard Manageability (ISM) ‡,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Secure Key,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Intel® Stable Image Platform Program (SIPP),,,,,,,,,,,,,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,No,No,No,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,No,,,,,,No,No,No,No,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,,,,,,,No,No,No,No,No,No,No,No
Intel® Hardware Shield Eligibility ‡,,,,,,,,,,,,,,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,Yes,,Yes,
Intel® Trust Domain Extensions (Intel® TDX),,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Crypto Acceleration,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Maximum Enclave Size Support for Intel® SGX,,,,,,,,,,,,,,,,,,,,,,,,,,,,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,512 GB,,,,,,,,512 GB,512 GB,512 GB,512 GB,,,,,,,,,,,,,,,,,,,,,,,,,,512 GB,,,,,,,,,,,128 GB,512 GB,128 GB,128 GB,512 GB,128 GB,512 GB,128 GB,512 GB,512 GB,,,,,,,,,,,,,,,,512 GB,512 GB,128 GB,512 GB,512 GB,512 GB,,,,,,,,
Intel® Run Sure Technology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,
Intel® Partner Security Engine ‡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

GPU Specifications
